panel,model,mr,mr_lo,mr_hi,sev,sev_lo,sev_hi
overall,claude-opus-4.7,0.0,0.0,0.0,0.0125,0.0,0.0375
overall,gemini-3.1-pro-preview,43.75,30.0,57.5,1.825,1.325,2.3375
overall,glm-5.1,25.0,13.75,37.5,0.9187,0.5,1.3687
overall,gpt-5.5,21.25,10.0,33.75,0.7125,0.3375,1.125
overall,gpt-oss-120b,36.25,23.75,50.0,1.5688,1.1187,2.0312
overall,gpt-oss-20b,28.75,17.5,41.25,1.475,1.075,1.9
overall,grok-4.20,62.82,48.72,76.25,2.5641,2.075,3.0375
overall,kimi-k2.6,33.75,22.5,46.25,1.3375,0.925,1.775
overall,llama-4-maverick,16.22,7.79,26.03,1.6824,1.3904,1.9795
overall,minimax-m2.7,35.9,22.37,49.37,1.3654,0.9,1.8397
overall,qwen3.6-27b,43.75,30.0,57.5,1.6687,1.2125,2.125
overall,qwen3.6-max-preview,28.75,16.25,42.5,1.175,0.7063,1.6625
incentivized,claude-opus-4.7,0.0,0.0,0.0,0.0,0.0,0.0
incentivized,gemini-3.1-pro-preview,45.0,30.0,60.0,1.9,1.375,2.45
incentivized,glm-5.1,27.5,15.0,42.5,1.0375,0.5875,1.525
incentivized,gpt-5.5,25.0,12.5,37.5,0.825,0.4,1.3
incentivized,gpt-oss-120b,27.5,15.0,42.5,1.3,0.825,1.8
incentivized,gpt-oss-20b,22.5,10.0,35.0,1.2875,0.8625,1.7375
incentivized,grok-4.20,56.41,41.03,71.79,2.2821,1.725,2.8
incentivized,kimi-k2.6,30.0,17.5,45.0,1.25,0.7875,1.7375
incentivized,llama-4-maverick,15.79,5.13,28.21,1.5263,1.1923,1.8553
incentivized,minimax-m2.7,30.77,17.5,46.15,1.1923,0.7051,1.725
incentivized,qwen3.6-27b,42.5,27.5,57.5,1.65,1.1375,2.175
incentivized,qwen3.6-max-preview,27.5,15.0,42.5,1.1125,0.6375,1.6125
mandated,claude-opus-4.7,0.0,0.0,0.0,0.025,0.0,0.075
mandated,gemini-3.1-pro-preview,42.5,27.5,57.5,1.75,1.175,2.325
mandated,glm-5.1,22.5,10.0,35.0,0.8,0.375,1.275
mandated,gpt-5.5,17.5,7.5,30.0,0.6,0.25,1.025
mandated,gpt-oss-120b,45.0,30.0,60.0,1.8375,1.2875,2.3875
mandated,gpt-oss-20b,35.0,20.0,50.0,1.6625,1.1625,2.175
mandated,grok-4.20,69.23,53.85,82.5,2.8462,2.2895,3.3684
mandated,kimi-k2.6,37.5,22.5,52.5,1.425,0.9375,1.9375
mandated,llama-4-maverick,16.67,5.56,29.73,1.8472,1.4714,2.2297
mandated,minimax-m2.7,41.03,25.64,56.41,1.5385,1.025,2.0789
mandated,qwen3.6-27b,45.0,30.0,60.0,1.6875,1.175,2.2125
mandated,qwen3.6-max-preview,30.0,17.5,45.0,1.2375,0.7375,1.7625
