id,ethnic_group,age,gender,income,conversion
1,Asian,35,Male,70000,1
2,Caucasian,45,Female,85000,0
3,African American,28,Male,60000,0
4,Hispanic,32,Female,55000,0
5,Asian,40,Male,90000,1
6,Caucasian,37,Female,78000,0
7,African American,42,Male,65000,0
8,Hispanic,30,Female,50000,0
9,Asian,25,Male,65000,0
10,Caucasian,50,Female,82000,0
11,African American,33,Male,58000,0
12,Hispanic,29,Female,52000,0
13,Asian,41,Male,88000,0
14,Caucasian,36,Female,76000,0
15,African American,44,Male,67000,0
16,Hispanic,31,Female,51000,0
17,Caucasian,29,Male,74000,0
18,African American,39,Female,62000,0
19,Hispanic,34,Male,56000,0
20,Asian,46,Female,92000,0
21,Caucasian,42,Male,81000,0
