hospital_id,survey_id,overall_rating,comments,optional_fields_omitted
Hospital #1,S00001,4,"Would recommend to friends",1
Hospital #1,S00002,4,"Good experience overall",1
Hospital #1,S00003,4,"Quick and efficient service",1
Hospital #1,S00004,5,"Professional environment",1
Hospital #1,S00005,5,"Would recommend to friends",1
Hospital #1,S00006,5,"Would recommend to friends",0
Hospital #1,S00007,4,"Nursing staff was attentive",1
Hospital #1,S00008,5,"Would recommend to friends",0
Hospital #1,S00009,4,"Professional environment",0
Hospital #1,S00010,5,"Clean facilities",0
Hospital #1,S00011,4,"Would recommend to friends",0
Hospital #1,S00012,5,"Excellent care from Dr. Smith",0
Hospital #1,S00013,5,"Excellent care from Dr. Smith",0
Hospital #1,S00014,4,"Quick and efficient service",1
Hospital #1,S00015,4,"Quick and efficient service",1
Hospital #1,S00016,5,"Quick and efficient service",0
Hospital #1,S00017,4,"Nursing staff was attentive",1
Hospital #1,S00018,3,"Long wait time in ER",3
Hospital #1,S00019,2,"Long wait time in ER",3
Hospital #1,S00020,2,"Billing issues unresolved",3
Hospital #2,S00021,4,"Excellent care from Dr. Smith",1
Hospital #2,S00022,5,"Good experience overall",1
Hospital #2,S00023,5,"Good experience overall",1
Hospital #2,S00024,4,"Quick and efficient service",1
Hospital #2,S00025,5,"Good experience overall",1
Hospital #2,S00026,5,"Nursing staff was attentive",1
Hospital #2,S00027,4,"Good experience overall",1
Hospital #2,S00028,5,"Good experience overall",1
Hospital #2,S00029,4,"Excellent care from Dr. Smith",1
Hospital #2,S00030,5,"Good experience overall",0
Hospital #2,S00031,4,"Clean facilities",1
Hospital #2,S00032,4,"Nursing staff was attentive",1
Hospital #2,S00033,5,"Nursing staff was attentive",1
Hospital #2,S00034,4,"Professional environment",1
Hospital #2,S00035,4,"Very satisfied with treatment",0
Hospital #2,S00036,5,"Professional environment",0
Hospital #2,S00037,5,"Excellent care from Dr. Smith",1
Hospital #2,S00038,1,"Medication explanation unclear",3
Hospital #2,S00039,3,"Long wait time in ER",3
Hospital #2,S00040,1,"Unresolved complaints",3
Hospital #3,S00041,4,"Excellent care from Dr. Smith",0
Hospital #3,S00042,4,"Very satisfied with treatment",1
Hospital #3,S00043,5,"Clean facilities",0
Hospital #3,S00044,5,"Very satisfied with treatment",1
Hospital #3,S00045,5,"Professional environment",0
Hospital #3,S00046,5,"Excellent care from Dr. Smith",1
Hospital #3,S00047,5,"Quick and efficient service",0
Hospital #3,S00048,5,"Clean facilities",1
Hospital #3,S00049,5,"Would recommend to friends",0
Hospital #3,S00050,4,"Would recommend to friends",0
Hospital #3,S00051,4,"Would recommend to friends",0
Hospital #3,S00052,4,"Good experience overall",1
Hospital #3,S00053,5,"Excellent care from Dr. Smith",0
Hospital #3,S00054,4,"Professional environment",1
Hospital #3,S00055,5,"Nursing staff was attentive",0
Hospital #3,S00056,5,"Quick and efficient service",1
Hospital #3,S00057,5,"Clean facilities",1
Hospital #3,S00058,1,"Rude front desk staff",3
Hospital #3,S00059,1,"Medication explanation unclear",3
Hospital #3,S00060,1,"Medication explanation unclear",3
Hospital #4,S00061,5,"Nursing staff was attentive",0
Hospital #4,S00062,4,"Clean facilities",0
Hospital #4,S00063,5,"Professional environment",0
Hospital #4,S00064,4,"Professional environment",0
Hospital #4,S00065,4,"Professional environment",0
Hospital #4,S00066,4,"Nursing staff was attentive",1
Hospital #4,S00067,5,"Nursing staff was attentive",1
Hospital #4,S00068,4,"Excellent care from Dr. Smith",0
Hospital #4,S00069,5,"Good experience overall",1
Hospital #4,S00070,5,"Professional environment",1
Hospital #4,S00071,4,"Clean facilities",0
Hospital #4,S00072,5,"Professional environment",1
Hospital #4,S00073,5,"Nursing staff was attentive",0
Hospital #4,S00074,5,"Would recommend to friends",0
Hospital #4,S00075,4,"Excellent care from Dr. Smith",1
Hospital #4,S00076,4,"Good experience overall",0
Hospital #4,S00077,5,"Would recommend to friends",1
Hospital #4,S00078,2,"Medication explanation unclear",3
Hospital #4,S00079,3,"Discharged too early",3
Hospital #4,S00080,1,"Long wait time in ER",3
Hospital #5,S00081,4,"Quick and efficient service",1
Hospital #5,S00082,5,"Good experience overall",0
Hospital #5,S00083,5,"Professional environment",0
Hospital #5,S00084,4,"Clean facilities",1
Hospital #5,S00085,5,"Nursing staff was attentive",0
Hospital #5,S00086,5,"Clean facilities",0
Hospital #5,S00087,5,"Professional environment",0
Hospital #5,S00088,4,"Clean facilities",0
Hospital #5,S00089,4,"Excellent care from Dr. Smith",1
Hospital #5,S00090,4,"Nursing staff was attentive",0
Hospital #5,S00091,4,"Clean facilities",0
Hospital #5,S00092,5,"Good experience overall",0
Hospital #5,S00093,4,"Quick and efficient service",0
